date,region,indicator,frequency,value
2017,World,Balance (stock change and miscellaneous),Annual,-0.6205824675381
2016,World,Oil-on-water,Annual,1102.4556376
2020,World,Oil-on-water,Annual,1148.4556376
2017,World,Oil-on-water,Quarterly,1043.4629376
2020,World,Oil-on-water,Quarterly,1186.4556376
2021,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,5.326314
2019,OPEC,OPEC NGL,Quarterly,4.693032
2015,OPEC,OPEC Non-conventional,Annual,0.107515068493151
2018,OPEC,"OPEC crude oil production 
(secondary sources)",Annual,31.344268
2018,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,31.959785
2019,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,29.448091
2021,Non-OPEC,Liquids Production,Annual,63.7271877369863
2021,Non-OPEC,Liquids Production,Quarterly,62.408581
2020,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,60.116751
2021,OECD,Liquids Production,Quarterly,30.010113
2018,OECD,Oil-on-water,Annual,
2021,OECD,Oil-on-water,Quarterly,1138.4556376
2018,OECD,"Days of forward consumption in OECD, days",Quarterly,90.6738905875548
2017,OECD,OECD onland commercial,Annual,63.0780564136322
2021,US,Demand,Annual,19.957518365766
2018,Europe,Demand,Annual,14.3181863013699
2018,Europe,Demand,Quarterly,14.335
2021,Europe,Demand,Quarterly,11.958
2017,Europe,Liquids Production,Annual,3.82670187945205
2015,Europe,Liquids Production,Quarterly,
2020,Europe,Liquids Production,Quarterly,3.791882
2015,Europe,OECD onland commercial,Annual,
2020,Europe,OECD onland commercial,Quarterly,87.3986429887753
2015,Europe,OECD SPR,Quarterly,
2018,Europe,OECD SPR,Quarterly,34.3235148689694
2019,Norway,Liquids Production,Quarterly,1.655753
2015,UK,Liquids Production,Quarterly,
2018,UK,Liquids Production,Quarterly,1.176558
2021,Denmark,Liquids Production,Quarterly,0.070263
2016,Asia Pacific,Demand,Annual,8.13886338797814
2015,Asia Pacific,OECD onland commercial,Quarterly,
2018,Asia Pacific,OECD onland commercial,Quarterly,51.0171510866719
2018,Asia Pacific,OECD onland commercial,Quarterly,48.872658720506
2015,Asia Pacific,OECD SPR,Quarterly,
2018,Australia,Liquids Production,Quarterly,0.372452
2015,Other Asia Pacific,Liquids Production,Quarterly,
2018,Other Asia Pacific,Liquids Production,Quarterly,0.065578
2015,Non-OECD,Demand,Annual,30.8900812069041
2019,Non-OECD,Demand,Quarterly,33.101602963901
2018,Non-OECD,Liquids Production,Quarterly,13.399635
2019,Non-OECD,Liquids Production,Quarterly,14.028704
2019,Non-OECD,Liquids Production,Quarterly,14.499704
2020,Non-OECD,Liquids Production,Quarterly,30.893126
2020,Other Asia,Liquids Production,Quarterly,2.455123
2020,Brunei,Liquids Production,Quarterly,0.099067
2016,Indonesia,Liquids Production,Quarterly,
2018,Malaysia,Liquids Production,Quarterly,
2018,Malaysia,Liquids Production,Quarterly,0.725796
2021,Vietnam,Liquids Production,Annual,0.218346660273973
2020,Vietnam,Liquids Production,Quarterly,0.21357
2020,Asia others,Liquids Production,Annual,0.216954163934426
2015,Asia others,Liquids Production,Quarterly,
2015,Latin America,Demand,Quarterly,
2020,Latin America,Demand,Quarterly,6.11968942705385
2015,Argentina,Liquids Production,Annual,0.679274164383562
2020,Brazil,Liquids Production,Annual,3.68037706557377
2015,Brazil,Liquids Production,Quarterly,
2017,Colombia,Liquids Production,Annual,0.878578317808219
2020,Colombia,Liquids Production,Quarterly,0.768831
2020,Ecuador,Liquids Production,Quarterly,0.539043
2016,Latin America others,Liquids Production,Annual,0.378395797814208
2018,Latin America others,Liquids Production,Quarterly,0.257348
2020,Middle East,Demand,Quarterly,7.88191168241791
2015,Middle East,Liquids Production,Annual,3.28393047123288
2018,Bahrain,Liquids Production,Annual,0.208383594520548
2021,Oman,Liquids Production,Annual,0.97340317260274
2019,Qatar,Liquids Production,Quarterly,1.94865
2015,Syria,Liquids Production,Annual,0.0266575232876712
2020,Syria,Liquids Production,Quarterly,0.02378
2020,Syria,Liquids Production,Quarterly,0.023801
2015,Africa,Demand,Annual,
2016,Africa,Demand,Annual,
2019,Africa,Demand,Annual,4.43085417352491
2019,Chad,Liquids Production,Quarterly,0.1182
2019,Egypt,Liquids Production,Quarterly,0.648811
2020,Egypt,Liquids Production,Quarterly,0.591211
2019,Sudans,Liquids Production,Annual,0.237348038356164
2021,Russia,Liquids Production,Annual,10.6259687808219
2021,other Eurasia,Liquids Production,Quarterly,2.951722
2019,Other Europe,Demand,Annual,0.763992120369167
2018,Other Europe,Demand,Quarterly,0.819645906709917
2016,Other Europe,Liquids Production,Annual,0.133404346994536
2020,Other Europe,Liquids Production,Annual,0.115976584699454
2020,World,Demand,Quarterly,93.482249183967
2019,World,Non-OPEC Liquids Production and OPEC NGLs,Annual,70.6432813890411
2018,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,67.542736
2020,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,24.9485935278801
2020,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,27.1712872702633
2021,World,Oil-on-water,Quarterly,1138.4556376
2019,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,5.208075
2019,OPEC,OPEC NGL,Annual,5.12186810136986
2020,Non-OPEC,Liquids Production,Annual,62.8893166174863
2020,Non-OPEC,Liquids Production,Quarterly,61.054061
2018,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,
2015,Non-OPEC,Processing gains,Quarterly,
2018,OECD,Demand,Quarterly,47.2807021288701
2021,OECD,Demand,Quarterly,45.9690494469931
2020,OECD,Liquids Production,Annual,29.1605325191257
2019,OECD,Liquids Production,Quarterly,29.781963
2016,OECD,"OECD closing stock levels, mb",Annual,4608.244
2020,OECD,"OECD closing stock levels, mb",Quarterly,4510.609
2018,OECD,SPR,Annual,32.5351238680771
2018,OECD,SPR,Quarterly,32.4680992470612
2019,OECD,SPR,Quarterly,31.962864528524
2020,OECD,Oil-on-water,Quarterly,1174.4556376
2015,OECD,"Days of forward consumption in OECD, days",Annual,
2018,OECD,"Days of forward consumption in OECD, days",Annual,93.9146157650259
2019,OECD,"Days of forward consumption in OECD, days",Annual,106.738979509096
2018,OECD,"Days of forward consumption in OECD, days",Quarterly,93.1219630198363
2020,OECD,Commercial onland stocks,Quarterly,75.9527492018446
2017,OECD,"Closing stock levels, mb",Quarterly,4630.438
2017,OECD,"Closing stock levels, mb",Quarterly,4428.463
2019,OECD,OECD SPR,Annual,37.4075676269723
2019,OECD,OECD SPR,Quarterly,32.0948670659179
2017,Americas,OECD onland commercial,Quarterly,63.4215775879197
2019,Americas,OECD onland commercial,Quarterly,60.13097866078
2021,Americas,OECD SPR,Quarterly,26.1339593531401
2019,US,Liquids Production,Quarterly,18.110995
2020,US,Liquids Production,Quarterly,16.805576
2019,Canada,Liquids Production,Annual,5.41288458082192
2020,Chile,Liquids Production,Quarterly,
2020,Europe,Liquids Production,Quarterly,3.887915
2017,Europe,OECD onland commercial,Quarterly,67.8360945138512
2017,Europe,OECD SPR,Annual,33.4843940866364
2015,Norway,Liquids Production,Annual,1.9476055890411
2020,Norway,Liquids Production,Quarterly,2.043907
2018,Denmark,Liquids Production,Annual,0.120980731506849
2019,Denmark,Liquids Production,Annual,0.107432887671233
2018,Denmark,Liquids Production,Quarterly,
2020,Other OECD Europe,Liquids Production,Quarterly,0.761843
2016,Asia Pacific,Demand,Quarterly,
2021,Asia Pacific,Liquids Production,Quarterly,0.553196
2021,Asia Pacific,OECD SPR,Quarterly,57.5717900178366
2018,Other Asia Pacific,Liquids Production,Annual,0.068425095890411
2020,Other Asia Pacific,Liquids Production,Quarterly,0.070063
2019,Non-OECD,Demand,Quarterly,33.4146325111804
2021,Other Asia,Liquids Production,Annual,2.49718131232877
2021,Other Asia,Liquids Production,Quarterly,2.470044
2019,India,Liquids Production,Annual,0.822172893150685
2020,India,Liquids Production,Quarterly,0.764475
2021,Indonesia,Liquids Production,Quarterly,0.865578
2021,Thailand,Liquids Production,Annual,0.466545778082192
2020,Asia others,Liquids Production,Quarterly,0.219645
2021,Asia others,Liquids Production,Quarterly,0.22351
2016,Argentina,Liquids Production,Annual,0.667559909836066
2018,Argentina,Liquids Production,Annual,0.688446583561644
2018,Colombia,Liquids Production,Quarterly,0.891783
2021,Ecuador,Liquids Production,Quarterly,0.509887
2016,Guyana,Liquids Production,Quarterly,
2019,Trinidad & Tobago,Liquids Production,Quarterly,0.081348
2018,Latin America others,Liquids Production,Annual,0.370132
2018,Middle East,Demand,Annual,8.12762578669958
2020,Middle East,Demand,Quarterly,6.91319496274543
2019,Middle East,Liquids Production,Annual,3.20132346027397
2021,Middle East,Liquids Production,Annual,3.21810038630137
2015,Oman,Liquids Production,Quarterly,
2019,Oman,Liquids Production,Quarterly,0.96973
2019,Qatar,Liquids Production,Quarterly,1.975777
2015,Yemen,Liquids Production,Quarterly,
2018,Yemen,Liquids Production,Quarterly,
2020,Yemen,Liquids Production,Quarterly,0.049329
2021,Yemen,Liquids Production,Quarterly,0.051125
2021,Africa,Demand,Annual,4.24749684762299
2021,Africa,Demand,Quarterly,4.3861205502064
2018,Africa,Liquids Production,Annual,1.50780260273973
2015,Africa,Liquids Production,Quarterly,
2021,Africa,Liquids Production,Quarterly,1.330778
2021,Africa,Liquids Production,Quarterly,1.318078
2015,Cameroon,Liquids Production,Quarterly,
2017,Egypt,Liquids Production,Annual,
2021,Egypt,Liquids Production,Annual,0.589704852054795
2021,Egypt,Liquids Production,Quarterly,0.590809
2018,Ghana,Liquids Production,Annual,0.189945126027397
2016,Ghana,Liquids Production,Quarterly,
2020,South Africa,Liquids Production,Quarterly,0.088012
2017,Sudans,Liquids Production,Annual,0.221575276712329
2021,Sudans,Liquids Production,Annual,0.194506019178082
2020,Sudans,Liquids Production,Quarterly,0.226861
2015,Africa other,Liquids Production,Annual,0.129641224657534
2018,Africa other,Liquids Production,Annual,
2016,Africa other,Liquids Production,Quarterly,
2019,Eurasia,Demand,Annual,5.60796604229587
2018,Eurasia,Demand,Quarterly,4.65435387412751
2017,Eurasia,Liquids Production,Annual,0.362696098630137
2020,Eurasia,Liquids Production,Quarterly,14.953614
2021,Russia,Demand,Quarterly,3.57014901709026
2020,Russia,Liquids Production,Annual,10.5919706693989
2018,Azerbaijan,Liquids Production,Quarterly,0.795817
2020,other Eurasia,Demand,Annual,1.07442243697593
2021,other Eurasia,Demand,Annual,1.19722195215857
2020,other Eurasia,Liquids Production,Annual,2.91498050819672
2021,other Eurasia,Liquids Production,Annual,2.96874969863014
2019,Other Europe,Demand,Quarterly,0.751622841840305
2018,Other Europe,Liquids Production,Annual,0.123164268493151
2021,Other Europe,Liquids Production,Quarterly,0.110723
2017,China,Demand,Annual,12.4709289531084
2019,China,Demand,Quarterly,12.9525574723292
2020,China,Liquids Production,Annual,4.11581418306011
2015,World,Demand,Quarterly,
2018,World,Demand,Quarterly,99.375503916487
2018,World,Liquids Production,Quarterly,98.003819
2019,World,Liquids Production,Quarterly,100.839121
2018,World,Balance (stock change and miscellaneous),Quarterly,-0.0800125713657138
2019,World,Balance (stock change and miscellaneous),Quarterly,0.788432857261171
2021,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,25.4170822269331
2019,OPEC,"OPEC NGLs + 
non-conventional oils",Annual,5.21678316986301
2020,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,5.017314
2018,OPEC,OPEC NGL,Annual,5.19468446849315
2020,OPEC,OPEC NGL,Quarterly,4.743314
2016,OPEC,OPEC Non-conventional,Quarterly,
2019,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,29.958324
2020,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,23.857026
2015,Non-OPEC,Liquids Production,Annual,59.5357128219178
2016,Non-OPEC,Liquids Production,Quarterly,
2020,Non-OPEC,Liquids Production,Quarterly,66.798301
2018,Non-OPEC,Processing gains,Annual,
2020,Non-OPEC,Processing gains,Quarterly,1.852
2020,OECD,Demand,Annual,
2017,OECD,Demand,Quarterly,
2020,OECD,Demand,Quarterly,42.285
2016,OECD,Liquids Production,Quarterly,
2020,OECD,Liquids Production,Quarterly,31.1806
2015,OECD,"OECD closing stock levels, mb",Annual,4576.877
2018,OECD,"OECD closing stock levels, mb",Quarterly,4432.403
2021,OECD,"OECD closing stock levels, mb",Quarterly,4513.417
2020,OECD,Commercial,Quarterly,2973.336
2019,OECD,SPR,Annual,36.498534619572
2019,OECD,SPR,Quarterly,33.8891518576924
2019,OECD,"Days of forward consumption in OECD, days",Quarterly,93.6645787660507
2020,OECD,OECD onland commercial,Quarterly,79.164407998083
2020,OECD,OECD onland commercial,Quarterly,75.9527492018446
2020,OECD,OECD SPR,Annual,35.3010531446156
2017,OECD,OECD SPR,Quarterly,32.7579576836029
2020,Americas,Demand,Annual,22.561325136612
2020,Americas,Demand,Quarterly,23.161
2020,Americas,Liquids Production,Annual,24.7251475218579
2016,Americas,OECD SPR,Annual,27.7580474037369
2018,US,Demand,Annual,20.8221917808219
2018,US,Demand,Annual,
2020,US,Demand,Quarterly,19.672
2021,US,Demand,Quarterly,19.151
2017,US,Liquids Production,Quarterly,
2019,US,Liquids Production,Quarterly,18.364541
2018,Canada,Liquids Production,Quarterly,5.283122
2019,Canada,Liquids Production,Quarterly,4.909522
2015,Mexico,Liquids Production,Annual,2.59876988219178
2018,Mexico,Liquids Production,Quarterly,
2019,Europe,Demand,Quarterly,14.2479701657224
2020,Europe,Demand,Quarterly,12.512
2021,Europe,Demand,Quarterly,12.7777998183719
2021,Europe,OECD onland commercial,Annual,
2020,Europe,OECD SPR,Quarterly,37.8409073254098
2020,Europe,OECD SPR,Quarterly,40.843943709164
2016,Norway,Liquids Production,Annual,1.99678663387978
2021,Norway,Liquids Production,Quarterly,2.109398
2019,Denmark,Liquids Production,Quarterly,0.101663
2019,Other OECD Europe,Liquids Production,Quarterly,0.711818
2020,Asia Pacific,Demand,Annual,7.07033333333333
2018,Asia Pacific,Demand,Quarterly,8.07954905641727
2021,Asia Pacific,Demand,Quarterly,7.16950438333333
2015,Asia Pacific,Liquids Production,Quarterly,
2019,Asia Pacific,OECD onland commercial,Quarterly,50.1943644333125
2016,Asia Pacific,OECD SPR,Annual,51.6969893837704
2017,Australia,Liquids Production,Annual,0.317325920547945
2018,Other Asia Pacific,Liquids Production,Annual,
2019,Other Asia Pacific,Liquids Production,Annual,0.0678604794520548
2020,Other Asia Pacific,Liquids Production,Annual,0.0699320928961749
2018,Non-OECD,Demand,Annual,51.1378856249193
2020,Non-OECD,Demand,Quarterly,49.1466015278801
2019,Non-OECD,Liquids Production,Quarterly,14.132704
2020,Other Asia,Demand,Annual,
2021,India,Demand,Annual,4.99802570914701
2020,India,Liquids Production,Annual,0.76679093989071
2019,India,Liquids Production,Quarterly,0.834728
2020,India,Liquids Production,Quarterly,0.757507
2018,Indonesia,Liquids Production,Quarterly,0.861602
2017,Thailand,Liquids Production,Annual,
2019,Thailand,Liquids Production,Quarterly,0.488924
2017,Asia others,Liquids Production,Quarterly,
2015,Latin America,Demand,Annual,
2019,Latin America,Liquids Production,Quarterly,5.443337
2021,Latin America,Liquids Production,Quarterly,5.963957
2021,Argentina,Liquids Production,Quarterly,0.675862
2016,Brazil,Liquids Production,Annual,3.12199192896175
2021,Brazil,Liquids Production,Quarterly,3.984087
2020,Colombia,Liquids Production,Quarterly,0.777899
2021,Ecuador,Liquids Production,Quarterly,0.532187
2021,Trinidad & Tobago,Liquids Production,Quarterly,
2017,Latin America others,Liquids Production,Annual,0.380641304109589
2021,Latin America others,Liquids Production,Annual,
2019,Latin America others,Liquids Production,Quarterly,0.266348
2015,Middle East,Liquids Production,Quarterly,
2019,Middle East,Liquids Production,Quarterly,3.239792
2017,Oman,Liquids Production,Annual,
2019,Oman,Liquids Production,Quarterly,0.969009
2016,Yemen,Liquids Production,Annual,0.0242075765027322
2021,Yemen,Liquids Production,Quarterly,0.059045
2017,Africa,Liquids Production,Annual,
2018,Cameroon,Liquids Production,Annual,0.069
2020,Cameroon,Liquids Production,Quarterly,0.071843
2019,Chad,Liquids Production,Annual,
2017,Ghana,Liquids Production,Annual,
2018,South Africa,Liquids Production,Quarterly,
2019,South Africa,Liquids Production,Quarterly,0.1294
2019,Sudans,Liquids Production,Quarterly,0.243263
2018,Africa other,Liquids Production,Quarterly,
2020,Eurasia,Demand,Annual,4.99779104778147
2020,Eurasia,Demand,Quarterly,4.85111792317589
2019,Eurasia,Liquids Production,Annual,
2020,Eurasia,Liquids Production,Annual,
2021,Eurasia,Liquids Production,Quarterly,0.35482
2021,Eurasia,Liquids Production,Quarterly,0.34066
2015,Azerbaijan,Liquids Production,Quarterly,
2021,Azerbaijan,Liquids Production,Quarterly,0.782022
2019,other Eurasia,Liquids Production,Quarterly,0.320998
2020,Other Europe,Demand,Quarterly,0.641
2019,Other Europe,Liquids Production,Annual,
2018,China,Demand,Quarterly,12.8351178643041
2021,China,Liquids Production,Annual,4.23367706849315
2021,World,Demand,Annual,
2016,World,Non-OPEC Liquids Production and OPEC NGLs,Annual,64.3491453442623
2020,World,Non-OPEC Liquids Production and OPEC NGLs,Annual,67.9392235136612
2020,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,71.949615
2016,World,Balance (stock change and miscellaneous),Annual,0.31486489846499
2018,World,Balance (stock change and miscellaneous),Quarterly,-0.20974058889206
2018,World,Balance (stock change and miscellaneous),Quarterly,0.127017083512953
2020,World,Balance (stock change and miscellaneous),Quarterly,8.55017985394605
2020,World,Balance (stock change and miscellaneous),Quarterly,-2.23444327026326
2017,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,
2017,OPEC,"OPEC NGLs + 
non-conventional oils",Annual,
2019,OPEC,OPEC NGL,Annual,
2017,OPEC,OPEC NGL,Quarterly,
2018,OPEC,OPEC NGL,Quarterly,
2018,OPEC,OPEC Non-conventional,Annual,0.0987452054794521
2021,OPEC,OPEC Non-conventional,Annual,0.108
2018,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,
2018,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,61.718304
2020,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,64.653301
2019,OECD,Liquids Production,Annual,30.0070979315069
2018,OECD,"OECD closing stock levels, mb",Quarterly,4419.246
2019,OECD,"OECD closing stock levels, mb",Quarterly,4442.988
2016,OECD,Commercial,Annual,3007.293
2017,OECD,SPR,Annual,
2020,OECD,Oil-on-water,Annual,1148.4556376
2016,OECD,Commercial onland stocks,Annual,63.1703708201124
2017,OECD,Commercial onland stocks,Quarterly,
2018,OECD,Commercial onland stocks,Quarterly,59.537757969993
2019,OECD,Commercial onland stocks,Quarterly,60.6387051679326
2020,OECD,"Closing stock levels, mb",Annual,
2018,OECD,"Closing stock levels, mb",Quarterly,4426.925
2017,OECD,OECD onland commercial,Annual,
2016,OECD,OECD onland commercial,Quarterly,
2018,OECD,OECD SPR,Annual,32.9821400331646
2020,OECD,OECD SPR,Quarterly,36.0524653817365
2016,Americas,Demand,Annual,24.8901284153005
2018,Americas,Demand,Quarterly,25.1957787340311
2016,Americas,OECD SPR,Quarterly,
2021,US,Liquids Production,Annual,
2021,US,Liquids Production,Quarterly,17.521467
2016,Canada,Liquids Production,Annual,4.49898319398907
2019,Canada,Liquids Production,Quarterly,5.36993
2020,Canada,Liquids Production,Quarterly,5.550603
2020,Canada,Liquids Production,Quarterly,4.74029
2020,Canada,Liquids Production,Quarterly,4.856461
2021,Canada,Liquids Production,Quarterly,5.177035
2021,Canada,Liquids Production,Quarterly,5.610237
2018,Chile,Liquids Production,Annual,0.00907662191780822
2020,Europe,Demand,Quarterly,13.336
2020,Europe,Liquids Production,Annual,
2021,Europe,Liquids Production,Annual,3.95187754794521
2019,Europe,Liquids Production,Quarterly,3.546177
2016,Europe,OECD SPR,Annual,33.4861252373316
2019,Europe,OECD SPR,Annual,
2018,Norway,Liquids Production,Annual,
2019,Norway,Liquids Production,Annual,1.73598898082192
2019,Norway,Liquids Production,Quarterly,1.946385
2020,Norway,Liquids Production,Quarterly,1.953726
2018,Denmark,Liquids Production,Annual,
2018,Denmark,Liquids Production,Quarterly,0.126641
2021,Other OECD Europe,Liquids Production,Annual,
2018,Other OECD Europe,Liquids Production,Quarterly,0.725818
2020,Other OECD Europe,Liquids Production,Quarterly,0.747383
2021,Other OECD Europe,Liquids Production,Quarterly,0.761016
2017,Asia Pacific,Liquids Production,Annual,0.391761819178082
2021,Asia Pacific,Liquids Production,Annual,
2015,Asia Pacific,OECD onland commercial,Annual,
2016,Asia Pacific,OECD onland commercial,Annual,50.7770770010387
2017,Asia Pacific,OECD onland commercial,Quarterly,53.8409292877999
2019,Asia Pacific,OECD SPR,Annual,
2020,Asia Pacific,OECD SPR,Annual,
2016,Asia Pacific,OECD SPR,Quarterly,
2019,Asia Pacific,OECD SPR,Quarterly,52.0728866624922
2019,Australia,Liquids Production,Quarterly,0.482591
2020,Australia,Liquids Production,Quarterly,0.457495
2018,Other Asia Pacific,Liquids Production,Quarterly,
2015,Non-OECD,Liquids Production,Quarterly,
2017,Non-OECD,Liquids Production,Quarterly,
2021,Non-OECD,Liquids Production,Quarterly,31.932415
2020,Other Asia,Liquids Production,Quarterly,2.605848
2015,Brunei,Liquids Production,Quarterly,
2021,Brunei,Liquids Production,Quarterly,0.116572
2020,India,Demand,Quarterly,4.23870561333721
2018,India,Liquids Production,Quarterly,0.840128
2021,India,Liquids Production,Quarterly,0.761049
2021,Asia others,Liquids Production,Quarterly,0.226569
2018,Latin America,Demand,Quarterly,
2020,Brazil,Liquids Production,Quarterly,3.612692
2021,Colombia,Liquids Production,Quarterly,0.771569
2017,Ecuador,Liquids Production,Quarterly,
2018,Ecuador,Liquids Production,Quarterly,
2017,Trinidad & Tobago,Liquids Production,Quarterly,
2021,Latin America others,Liquids Production,Quarterly,0.38023
2020,Middle East,Liquids Production,Annual,3.1748271420765
2017,Bahrain,Liquids Production,Annual,0.208369895890411
2020,Bahrain,Liquids Production,Quarterly,0.201016
2021,Bahrain,Liquids Production,Quarterly,0.209818
2017,Oman,Liquids Production,Quarterly,
2015,Qatar,Liquids Production,Annual,2.01097694246575
2018,Qatar,Liquids Production,Quarterly,
2020,Qatar,Liquids Production,Quarterly,1.935171
2021,Qatar,Liquids Production,Quarterly,1.953357
2021,Qatar,Liquids Production,Quarterly,1.97273
2019,Syria,Liquids Production,Quarterly,0.024
2019,Yemen,Liquids Production,Annual,
2018,Africa,Demand,Annual,
2019,Africa,Demand,Quarterly,
2021,Africa,Liquids Production,Annual,1.34091945205479
2018,Cameroon,Liquids Production,Annual,
2017,Chad,Liquids Production,Quarterly,
2019,Egypt,Liquids Production,Annual,
2019,Egypt,Liquids Production,Quarterly,0.648674
2021,Ghana,Liquids Production,Quarterly,0.184541
2015,South Africa,Liquids Production,Quarterly,
2020,Sudans,Liquids Production,Quarterly,0.247604
2017,Africa other,Liquids Production,Annual,0.136013479452055
2015,Africa other,Liquids Production,Quarterly,
2016,Eurasia,Demand,Annual,4.57160020568146
2017,Eurasia,Demand,Annual,5.36069772194116
2018,Eurasia,Liquids Production,Annual,0.350945232876712
2021,Eurasia,Liquids Production,Annual,
2020,Eurasia,Liquids Production,Quarterly,13.407821
2016,Russia,Demand,Quarterly,
2018,Russia,Liquids Production,Annual,11.5154790164384
2016,Russia,Liquids Production,Quarterly,
2018,Kazakhstan,Liquids Production,Quarterly,1.768469
2017,Azerbaijan,Liquids Production,Annual,
2018,other Eurasia,Demand,Annual,1.20701643835616
2019,other Eurasia,Demand,Quarterly,
2021,other Eurasia,Liquids Production,Annual,
2018,other Eurasia,Liquids Production,Quarterly,
2021,Other Europe,Demand,Annual,0.68799912590803
2020,Other Europe,Demand,Quarterly,0.546
2020,Other Europe,Liquids Production,Annual,
2019,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,70.069356
2017,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,
2021,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,
2016,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,
2020,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,17.022576146054
2015,World,Oil-on-water,Annual,
2020,World,Oil-on-water,Annual,
2021,World,Oil-on-water,Quarterly,
2019,OPEC,"OPEC NGLs + 
non-conventional oils",Annual,
2020,OPEC,"OPEC NGLs + 
non-conventional oils",Annual,
2018,OPEC,OPEC Non-conventional,Annual,
2020,OPEC,"OPEC crude oil production 
(secondary sources)",Annual,25.64219
2015,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,
2017,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,
2021,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,60.208581
2019,Non-OPEC,Processing gains,Quarterly,2.278
2017,OECD,Demand,Annual,47.6757397260274
2019,OECD,Demand,Annual,
2019,OECD,Demand,Quarterly,48.4562952302924
2019,OECD,Liquids Production,Annual,
2019,OECD,"OECD closing stock levels, mb",Annual,4424.654000000001
2018,OECD,SPR,Annual,
2019,OECD,"Days of forward consumption in OECD, days",Annual,
2018,OECD,"Closing stock levels, mb",Annual,
2018,OECD,"Closing stock levels, mb",Quarterly,4388.979
2018,OECD,"Closing stock levels, mb",Quarterly,4437.601
2019,OECD,OECD onland commercial,Annual,68.6861337118559
2021,OECD,OECD onland commercial,Annual,
2017,OECD,OECD onland commercial,Quarterly,61.6556134631756
2020,OECD,OECD SPR,Annual,
2021,OECD,OECD SPR,Annual,
2015,OECD,OECD SPR,Quarterly,
2018,OECD,OECD SPR,Quarterly,32.7557581573896
2019,OECD,OECD SPR,Quarterly,33.7888597900482
2021,OECD,OECD SPR,Quarterly,
2020,Americas,Demand,Quarterly,22.717
2021,Americas,Liquids Production,Annual,25.0592514136986
2016,Americas,Liquids Production,Quarterly,
2019,Americas,Liquids Production,Quarterly,26.636562
2020,Americas,Liquids Production,Quarterly,26.602805
2018,Americas,OECD onland commercial,Annual,
2019,Americas,OECD SPR,Quarterly,24.859410430839
2021,US,Demand,Quarterly,20.4510286457773
2016,US,Liquids Production,Annual,13.6168495846995
2018,US,Liquids Production,Quarterly,17.170195
2021,US,Liquids Production,Quarterly,17.974377
2020,Canada,Liquids Production,Annual,5.17551134699453
2021,Canada,Liquids Production,Annual,5.45788397534247
2019,Canada,Liquids Production,Quarterly,5.257922
2019,Chile,Liquids Production,Quarterly,
2021,Chile,Liquids Production,Quarterly,0.011123
2020,Europe,OECD onland commercial,Quarterly,86.2295396419437
2017,Europe,OECD SPR,Quarterly,34.1841824770838
2019,Norway,Liquids Production,Annual,
2017,Norway,Liquids Production,Quarterly,
2018,Norway,Liquids Production,Quarterly,1.859153
2017,UK,Liquids Production,Annual,1.02612618630137
2020,UK,Liquids Production,Quarterly,1.148861
2015,Denmark,Liquids Production,Quarterly,
2016,Denmark,Liquids Production,Quarterly,
2018,Other OECD Europe,Liquids Production,Annual,
2015,Asia Pacific,Demand,Annual,8.10169315068493
2017,Asia Pacific,Demand,Annual,8.1477698630137
2020,Asia Pacific,Demand,Annual,
2018,Asia Pacific,Demand,Quarterly,7.7025883340601
2019,Asia Pacific,OECD onland commercial,Annual,
2016,Asia Pacific,OECD onland commercial,Quarterly,
2017,Australia,Liquids Production,Annual,
2018,Australia,Liquids Production,Quarterly,
2021,Other Asia Pacific,Liquids Production,Quarterly,0.066512
2018,Non-OECD,Demand,Quarterly,32.5579405081898
2018,Non-OECD,Liquids Production,Annual,32.7854579863014
2019,Other Asia,Liquids Production,Annual,2.68848083835616
2019,Brunei,Liquids Production,Annual,0.121389076712329
2018,Indonesia,Liquids Production,Annual,
2019,Malaysia,Liquids Production,Annual,0.694147775342466
